From	Entry	Reviewed	Entry Name	Length
Q8IDA0	Q8IDA0	reviewed	GCYB_PLAF7	3179
Q8CI03	Q8CI03	reviewed	FWCH1_MOUSE	673
O81787	O81787	reviewed	PTF2_ARATH	527
P53941	P53941	reviewed	IMP4_YEAST	290
Q07923	Q07923	reviewed	LOT6_YEAST	191
Q8R0J4	Q8R0J4	reviewed	TM134_MOUSE	195
P36532	P36532	reviewed	RM37_YEAST	105
Q8R2Y9	Q8R2Y9	reviewed	SOSB1_MOUSE	212
P08580	P08580	reviewed	RT16_NEUCR	107
Q03718	Q03718	reviewed	NSE5_YEAST	556
Q9CWF6	Q9CWF6	reviewed	BBS2_MOUSE	721
D9PTN5	D9PTN5	reviewed	MYRF2_CAEEL	1009
P32609	P32609	reviewed	PEP7_YEAST	515
Q8VE09	Q8VE09	reviewed	TT39C_MOUSE	580
Q03200	Q03200	reviewed	LIRP1_ORYSJ	128
Q9D159	Q9D159	reviewed	MRAP_MOUSE	127
Q9JJK5	Q9JJK5	reviewed	HERP1_MOUSE	391
Q9GTW9	Q9GTW9	reviewed	GLK1_TRIVA	375
P38208	P38208	reviewed	POP8_YEAST	133
Q92262	Q92262	reviewed	PEX3_PICPA	455
Q2V2P8	Q2V2P8	reviewed	CENPW_YEAST	89
Q9CQF8	Q9CQF8	reviewed	RT63_MOUSE	102
Q9SMZ4	Q9SMZ4	reviewed	AASS_ARATH	1064
P40046	P40046	reviewed	VTC1_YEAST	129
J9VVN9	J9VVN9	reviewed	VTS1_CRYNH	687
P14736	P14736	reviewed	RAD4_YEAST	754
Q9VC70	Q9VC70	reviewed	DZIP1_DROME	737
Q3UFS0	Q3UFS0	reviewed	ZY11B_MOUSE	744
P17883	P17883	reviewed	SKI3_YEAST	1432
Q1L5Z9	Q1L5Z9	reviewed	LONF2_HUMAN	754
O74452	O74452	reviewed	SCW1_SCHPO	561
P15311	P15311	reviewed	EZRI_HUMAN	586
Q8IPJ3	Q8IPJ3	reviewed	LUBEL_DROME	2892
F4HS99	F4HS99	reviewed	REC1_ARATH	1797
P58197	P58197	reviewed	AP2A_RAT	437
Q10330	Q10330	reviewed	RL25A_SCHPO	141
F4IK01	F4IK01	reviewed	AUG1_ARATH	299
Q6PDX6	Q6PDX6	reviewed	RN220_MOUSE	566
Q3KQP7	Q3KQP7	reviewed	SPO16_MOUSE	186
O42804	O42804	reviewed	XLNR_ASPNG	945
F4IGA5	F4IGA5	reviewed	NU133_ARATH	1285
Q9VE86	Q9VE86	reviewed	WRNXO_DROME	353
Q7TMY4	Q7TMY4	reviewed	THOC7_MOUSE	204
Q8BHW2	Q8BHW2	reviewed	OSCP1_MOUSE	379
Q8CFP6	Q8CFP6	reviewed	DJC27_MOUSE	273
Q9LYC2	Q9LYC2	reviewed	NPL41_ARATH	413
O94263	O94263	reviewed	DPB2_SCHPO	594
Q54PC2	Q54PC2	reviewed	GSH1_DICDI	626
P82167	P82167	reviewed	CU213_LOCMI	200
Q1H5E9	Q1H5E9	reviewed	PRDA1_ARATH	397
O42913	O42913	reviewed	NRM1_SCHPO	342
Q9FFF5	Q9FFF5	reviewed	ALFL1_ARATH	241
P46435	P46435	reviewed	MAK16_SCHMA	259
Q9LIQ4	Q9LIQ4	reviewed	THIM_ARATH	276
Q922H9	Q922H9	reviewed	ZN330_MOUSE	316
O49621	O49621	reviewed	MLO1_ARATH	526
Q54TN2	Q54TN2	reviewed	MYBC_DICDI	580
P10069	P10069	reviewed	BRLA_EMENI	432
P80427	P80427	reviewed	TALDO_CARMA	75
Q5JTZ5	Q5JTZ5	reviewed	CI152_HUMAN	239
Q00277	Q00277	reviewed	GPX1_SCHMA	169
B2CQK1	B2CQK1	reviewed	VELB_AJECA	373
F4JKK0	F4JKK0	reviewed	SUD1_ARATH	1108
P81671	P81671	reviewed	CLPA_PINPS	30
B8NNN3	B8NNN3	reviewed	AP1_ASPFN	584
O74563	O74563	reviewed	BRL2_SCHPO	680
Q06592	Q06592	reviewed	HPA2_YEAST	156
P0DO28	P0DO28	reviewed	ERIL_HERER	382
O65202	O65202	reviewed	ACOX1_ARATH	664
Q5PQM0	Q5PQM0	reviewed	TM168_RAT	697
P10852	P10852	reviewed	4F2_MOUSE	526
P80349	P80349	reviewed	FUC3_RAT	39
O23179	O23179	reviewed	PLP1_ARATH	414
Q96G27	Q96G27	reviewed	WBP1_HUMAN	269
Q09926	Q09926	reviewed	PCR1_SCHPO	171
Q8CGS6	Q8CGS6	reviewed	DPOLQ_MOUSE	2544
Q9CZH3	Q9CZH3	reviewed	PSMG3_MOUSE	122
G5EDM7	G5EDM7	reviewed	DAF5_CAEEL	627
Q9CWM4	Q9CWM4	reviewed	PFD1_MOUSE	122
Q80WQ8	Q80WQ8	reviewed	M18BP_MOUSE	998
O13881	O13881	reviewed	CLR2_SCHPO	537
Q9EQQ9	Q9EQQ9	reviewed	OGA_MOUSE	916
Q96CN9	Q96CN9	reviewed	GCC1_HUMAN	775
Q8S8K8	Q8S8K8	reviewed	CV_ARATH	152
Q9H609	Q9H609	reviewed	ZN576_HUMAN	170
Q6P1Y1	Q6P1Y1	reviewed	RTL3_MOUSE	553
P05317	P05317	reviewed	RLA0_YEAST	312
Q9DAJ2	Q9DAJ2	reviewed	TEKT1_MOUSE	418
O74502	O74502	reviewed	MSH6_SCHPO	1254
Q06215	Q06215	reviewed	PPO_VICFA	606
Q5XIN9	Q5XIN9	reviewed	CCD81_RAT	651
Q08491	Q08491	reviewed	SKI7_YEAST	747
P25578	P25578	reviewed	PGPS1_YEAST	521
O74796	O74796	reviewed	ORC6_SCHPO	264
P82245	P82245	reviewed	RK28_SPIOL	148
Q76KJ5	Q76KJ5	reviewed	RPA34_MOUSE	399
Q64398	Q64398	reviewed	DGKH_MESAU	1154
Q03823	Q03823	reviewed	YM35_YEAST	816
Q9D8N6	Q9D8N6	reviewed	LIN37_MOUSE	246
P0DUL5	P0DUL5	reviewed	HKM7_ASPHA	532
Q69ZR9	Q69ZR9	reviewed	TASOR_MOUSE	1610
Q9H098	Q9H098	reviewed	F107B_HUMAN	131
Q04431	Q04431	reviewed	KRE28_YEAST	385
O14284	O14284	reviewed	OXR1_SCHPO	188
Q9FFK6	Q9FFK6	reviewed	NUP88_ARATH	810
P86201	P86201	reviewed	QCR1_MESAU	114
Q6IQX7	Q6IQX7	reviewed	CHSS2_MOUSE	774
Q9NLA6	Q9NLA6	reviewed	OAF_DROME	487
Q6K431	Q6K431	reviewed	TRX1_ORYSJ	1022
Q8L493	Q8L493	reviewed	DAAA_ARATH	373
O95455	O95455	reviewed	TGDS_HUMAN	350
Q7LL22	Q7LL22	reviewed	NSK1_SCHPO	462
Q0CF67	Q0CF67	reviewed	AZPB7_ASPTN	593
Q08961	Q08961	reviewed	RKM1_YEAST	583
Q9SD80	Q9SD80	reviewed	TOM5_ARATH	54
P39730	P39730	reviewed	IF2P_YEAST	1002
Q96JK2	Q96JK2	reviewed	DCAF5_HUMAN	942
A0A0B4K753	A0A0B4K753	reviewed	HEMOT_DROME	88
Q9WU22	Q9WU22	reviewed	PTN4_MOUSE	926
Q5XIV2	Q5XIV2	reviewed	MARHA_RAT	790
Q9Z1T5	Q9Z1T5	reviewed	DEAF1_MOUSE	566
Q9BY12	Q9BY12	reviewed	SCAPE_HUMAN	1400
Q12292	Q12292	reviewed	ATG34_YEAST	412
P38257	P38257	reviewed	MMS4_YEAST	691
Q8GYY7	Q8GYY7	reviewed	DHU1_ARATH	783
O95714	O95714	reviewed	HERC2_HUMAN	4834
Q9FT73	Q9FT73	reviewed	RECQ2_ARATH	705
P0C2C3	P0C2C3	reviewed	MARC2_PIG	40
Q7YZT0	Q7YZT0	reviewed	TSP36_TAESA	314
Q6ZR37	Q6ZR37	reviewed	PKHG7_HUMAN	691
Q11184	Q11184	reviewed	LE756_CAEEL	425
Q04264	Q04264	reviewed	PDS5_YEAST	1277
P15343	P15343	reviewed	HSP3_HORSE	58
W7LL82	W7LL82	reviewed	FUM13_GIBM7	369
P97931	P97931	reviewed	UNG_MOUSE	306
D3Z1D3	D3Z1D3	reviewed	CEFIP_MOUSE	1412
P0CW23	P0CW23	reviewed	AKAI1_HUMAN	69
Q8JZX9	Q8JZX9	reviewed	BORG1_MOUSE	214
Q9UU82	Q9UU82	reviewed	AREH2_SCHPO	472
Q91YE5	Q91YE5	reviewed	BAZ2A_MOUSE	1889
Q6MZQ0	Q6MZQ0	reviewed	PRR5L_HUMAN	368
Q9TW65	Q9TW65	reviewed	DMD_CAEEL	3674
P86349	P86349	reviewed	EFGC_ARAHY	109
V9M398	V9M398	reviewed	RUN1_VITRO	1331
O59722	O59722	reviewed	FAB1_SCHPO	1932
P53148	P53148	reviewed	SP105_YEAST	917
Q6SJR1	Q6SJR1	reviewed	TAF4_ARATH	720
Q8CH77	Q8CH77	reviewed	NAV1_MOUSE	1875
Q86UN6	Q86UN6	reviewed	AKA28_HUMAN	197
Q9FH97	Q9FH97	reviewed	EPS1_ARATH	434
Q9FIN7	Q9FIN7	reviewed	MIP2_ARATH	2376
Q4WD43	Q4WD43	reviewed	FSQB_ASPFU	497
Q00LT1	Q00LT1	reviewed	PRCD_HUMAN	54
Q9C5G0	Q9C5G0	reviewed	SUF4_ARATH	367
P32500	P32500	reviewed	NDC1_YEAST	655
Q17902	Q17902	reviewed	EGAL1_CAEEL	574
Q9WTR1	Q9WTR1	reviewed	TRPV2_MOUSE	756
P80018	P80018	reviewed	GLBC_MOLAR	159
Q9Z2H7	Q9Z2H7	reviewed	GIPC2_MOUSE	314
Q9GYU7	Q9GYU7	reviewed	MED10_DROME	133
Q12128	Q12128	reviewed	BAG7_YEAST	409
Q9C9M6	Q9C9M6	reviewed	ASF1A_ARATH	196
Q8BVE8	Q8BVE8	reviewed	NSD2_MOUSE	1365
Q8CG80	Q8CG80	reviewed	SHF_MOUSE	238
P0C5Q3	P0C5Q3	reviewed	YM13C_YEAST	49
Q49A88	Q49A88	reviewed	CCD14_HUMAN	953
Q26710	Q26710	reviewed	AOX_TRYBB	329
Q8TDY4	Q8TDY4	reviewed	ASAP3_HUMAN	903
A0PK05	A0PK05	reviewed	TMM72_HUMAN	275
P53840	P53840	reviewed	TOF1_YEAST	1238
P87307	P87307	reviewed	MUG37_SCHPO	217
Q9Z1K7	Q9Z1K7	reviewed	APCL_MOUSE	2274
Q39208	Q39208	reviewed	SC5D1_ARATH	281
Q8VE88	Q8VE88	reviewed	F1142_MOUSE	497
F4IN69	F4IN69	reviewed	MD33B_ARATH	1275
Q8H1U4	Q8H1U4	reviewed	APC5_ARATH	916
Q12972	Q12972	reviewed	PP1R8_HUMAN	351
Q9CWU9	Q9CWU9	reviewed	NUP37_MOUSE	326
Q9Y2G2	Q9Y2G2	reviewed	CARD8_HUMAN	537
Q9Y5Y3	Q9Y5Y3	reviewed	GPR45_HUMAN	372
Q8R3Q6	Q8R3Q6	reviewed	MIX23_MOUSE	144
P39058	P39058	reviewed	CEFG_ACRCH	444
F4K4E3	F4K4E3	reviewed	LSM4_ARATH	129
B3EWE9	B3EWE9	reviewed	AMP2_SESIN	99
Q18221	Q18221	reviewed	SET2_CAEEL	1507
Q8L7W1	Q8L7W1	reviewed	MSL3_ARATH	678
P11985	P11985	reviewed	DYLT2_MOUSE	191
Q5FVK8	Q5FVK8	reviewed	AL14E_RAT	276
P0CT06	P0CT06	reviewed	ACEA_MAGO7	547
Q3TAP4	Q3TAP4	reviewed	AP5B1_MOUSE	876
Q9VRM7	Q9VRM7	reviewed	CP307_DROME	543
Q8SRK6	Q8SRK6	reviewed	RAD50_ENCCU	1247
Q86B79	Q86B79	reviewed	UNK_DROME	599
Q9W1Y1	Q9W1Y1	reviewed	EMC89_DROME	203
Q9BQE5	Q9BQE5	reviewed	APOL2_HUMAN	337
P80504	P80504	reviewed	ATPO_SOLTU	37
P36151	P36151	reviewed	YK50_YEAST	352
Q84TH9	Q84TH9	reviewed	NLP7_ARATH	959
O23461	O23461	reviewed	ARAK_ARATH	1039
Q9D6G9	Q9D6G9	reviewed	CKLF5_MOUSE	156
Q642A3	Q642A3	reviewed	S31F3_RAT	329
P79245	P79245	reviewed	STAR_SHEEP	285
Q6QHK4	Q6QHK4	reviewed	FIGLA_HUMAN	219
Q07307	Q07307	reviewed	UAPA_EMENI	574
Q09248	Q09248	reviewed	DCTN2_CAEEL	331
O16519	O16519	reviewed	GAD1_CAEEL	620
Q9LSF6	Q9LSF6	reviewed	VTH21_ARATH	219
Q9C7G1	Q9C7G1	reviewed	PUB45_ARATH	768
Q9P215	Q9P215	reviewed	POGK_HUMAN	609
Q9BY89	Q9BY89	reviewed	K1671_HUMAN	1806
Q04690	Q04690	reviewed	NF1_MOUSE	2841
P93788	P93788	reviewed	REMO_SOLTU	198
P53168	P53168	reviewed	DUO1_YEAST	247
Q12308	Q12308	reviewed	TFC8_YEAST	588
Q9JHG2	Q9JHG2	reviewed	RCAN2_MOUSE	197
A2RRY8	A2RRY8	reviewed	SPAS1_MOUSE	269
Q24400	Q24400	reviewed	MLP2_DROME	495
Q8TBE3	Q8TBE3	reviewed	FNDC9_HUMAN	224
O94614	O94614	reviewed	CHR4_SCHPO	633
P98200	P98200	reviewed	AT8A2_MOUSE	1148
P12687	P12687	reviewed	RM02_YEAST	371
Q6EWX0	Q6EWX0	reviewed	ORC5_ARATH	534
Q9FIE8	Q9FIE8	reviewed	UXS3_ARATH	342
Q9XWP6	Q9XWP6	reviewed	KDM1A_CAEEL	770
O54921	O54921	reviewed	EXOC2_RAT	924
Q9D5P4	Q9D5P4	reviewed	ADAD2_MOUSE	561
Q9Y3D9	Q9Y3D9	reviewed	RT23_HUMAN	190
A2RT62	A2RT62	reviewed	FXL16_MOUSE	479
Q9VW27	Q9VW27	reviewed	TEY_DROME	717
Q9UIS9	Q9UIS9	reviewed	MBD1_HUMAN	605
Q9HB96	Q9HB96	reviewed	FANCE_HUMAN	536
Q9W1I2	Q9W1I2	reviewed	BGCN_DROME	1215
Q2Q493	Q2Q493	reviewed	MIF3_ARATH	88
O14156	O14156	reviewed	PP2C4_SCHPO	383
Q5FBB7	Q5FBB7	reviewed	SGO1_HUMAN	561
Q12788	Q12788	reviewed	TBL3_HUMAN	808
Q9CZV5	Q9CZV5	reviewed	ST65G_MOUSE	412
A1YKT1	A1YKT1	reviewed	TCP18_ARATH	433
O74775	O74775	reviewed	SIP5_SCHPO	554
O14109	O14109	reviewed	MAF1_SCHPO	238
Q92551	Q92551	reviewed	IP6K1_HUMAN	441
C0HL37	C0HL37	reviewed	CYGPC_GLOPU	31
O13815	O13815	reviewed	MUG52_SCHPO	105
Q68G75	Q68G75	reviewed	LEMD1_HUMAN	181
F4IDU4	F4IDU4	reviewed	MBOA1_ARATH	462
Q86UP8	Q86UP8	reviewed	GTD2A_HUMAN	949
D4A9K4	D4A9K4	reviewed	S18B1_RAT	455
P33332	P33332	reviewed	SEC3_YEAST	1336
Q9BU76	Q9BU76	reviewed	MMTA2_HUMAN	263
P11274	P11274	reviewed	BCR_HUMAN	1271
Q96C12	Q96C12	reviewed	ARMC5_HUMAN	935
Q9NRH1	Q9NRH1	reviewed	YAE1_HUMAN	226
Q9HC77	Q9HC77	reviewed	CENPJ_HUMAN	1338
Q4WR23	Q4WR23	reviewed	HELD2_ASPFU	463
P38787	P38787	reviewed	PANE_YEAST	379
Q5EU90	Q5EU90	reviewed	TER_EUGGR	539
Q99LN9	Q99LN9	reviewed	DOHH_MOUSE	302
P81833	P81833	reviewed	TL29_SPIOL	30
O17645	O17645	reviewed	HST2_CAEEL	324
Q00899	Q00899	reviewed	TYY1_MOUSE	414
Q80VM4	Q80VM4	reviewed	ZN579_MOUSE	562
P39001	P39001	reviewed	UME6_YEAST	836
Q8BI72	Q8BI72	reviewed	CARF_MOUSE	563
P38279	P38279	reviewed	YPQ3_YEAST	296
Q9VQK0	Q9VQK0	reviewed	U518_DROME	1041
P58283	P58283	reviewed	RN216_MOUSE	853
Q9Y666	Q9Y666	reviewed	S12A7_HUMAN	1083
Q4JK59	Q4JK59	reviewed	TET2_MOUSE	1912
Q5T7W7	Q5T7W7	reviewed	TSTD2_HUMAN	516
P13496	P13496	reviewed	DCTN1_DROME	1265
Q9SQK3	Q9SQK3	reviewed	EM506_ARATH	315
Q12453	Q12453	reviewed	CEX1_YEAST	761
P38751	P38751	reviewed	SHU1_YEAST	150
Q04629	Q04629	reviewed	SWF1_YEAST	336
Q19131	Q19131	reviewed	NPP5_CAEEL	813
Q00PI9	Q00PI9	reviewed	HNRL2_MOUSE	745
P38293	P38293	reviewed	UMP1_YEAST	148
Q9Y3C8	Q9Y3C8	reviewed	UFC1_HUMAN	167
O75426	O75426	reviewed	FBX24_HUMAN	580
L0E4F8	L0E4F8	reviewed	MALC_MALAU	264
Q9SYD8	Q9SYD8	reviewed	DABB1_ARATH	210
P45976	P45976	reviewed	FIP1_YEAST	327
Q3TQ03	Q3TQ03	reviewed	CIART_MOUSE	375
Q8SRF1	Q8SRF1	reviewed	PSB4_ENCCU	197
P53191	P53191	reviewed	PIB2_YEAST	635
P05084	P05084	reviewed	HUNB_DROME	758
Q08964	Q08964	reviewed	YP216_YEAST	1102
P09741	P09741	reviewed	TNNT2_RABIT	301
Q2M2Z5	Q2M2Z5	reviewed	KIZ_HUMAN	673
Q3TYP4	Q3TYP4	reviewed	TM88B_MOUSE	173
Q8WWI1	Q8WWI1	reviewed	LMO7_HUMAN	1683
Q6PGA0	Q6PGA0	reviewed	RCOR3_MOUSE	451
Q96MG2	Q96MG2	reviewed	JSPR1_HUMAN	331
P40045	P40045	reviewed	TDA2_YEAST	126
Q9UUB1	Q9UUB1	reviewed	RIB4_SCHPO	159
Q63564	Q63564	reviewed	SV2B_RAT	683
Q8K3A0	Q8K3A0	reviewed	HSC20_MOUSE	234
D3ZZL9	D3ZZL9	reviewed	GCC2_RAT	1679
Q8RWR2	Q8RWR2	reviewed	LRP1B_ARATH	452
Q6W2J0	Q6W2J0	reviewed	PHS1_MAIZE	347
Q5U649	Q5U649	reviewed	CL060_HUMAN	245
Q9UW00	Q9UW00	reviewed	COPC5_COPCM	141
Q8IWF9	Q8IWF9	reviewed	CCD83_HUMAN	413
Q9D709	Q9D709	reviewed	TMM79_MOUSE	391
P60150	P60150	reviewed	PSBL_SPIOL	38
Q8WW43	Q8WW43	reviewed	APH1B_HUMAN	257
O82343	O82343	reviewed	Y2626_ARATH	561
Q5SXA9	Q5SXA9	reviewed	KIBRA_MOUSE	1104
Q9ZUU2	Q9ZUU2	reviewed	PXL2C_ARATH	248
P19973	P19973	reviewed	LSP1_MOUSE	330
Q9QZM2	Q9QZM2	reviewed	DPOG2_MOUSE	459
Q43402	Q43402	reviewed	OLNB6_BRANA	375
Q96I45	Q96I45	reviewed	TM141_HUMAN	108
O88902	O88902	reviewed	PTN23_RAT	1499
Q0E1I7	Q0E1I7	reviewed	SNP32_ORYSJ	283
P39534	P39534	reviewed	MBB1_YEAST	108
P36169	P36169	reviewed	SKG1_YEAST	355
Q9VI60	Q9VI60	reviewed	ENY2B_DROME	95
A0A2K3D5Z7	A0A2K3D5Z7	reviewed	CMD1_CHLRE	532
P43557	P43557	reviewed	FMP32_YEAST	207
Q06328	Q06328	reviewed	YPQ2_YEAST	317
Q23977	Q23977	reviewed	HEP_DROME	1178
Q3LAC4	Q3LAC4	reviewed	PREX2_MOUSE	1598
P39521	P39521	reviewed	FHL1_YEAST	936
Q9P7Q6	Q9P7Q6	reviewed	MUG51_SCHPO	306
Q99M08	Q99M08	reviewed	CD003_MOUSE	65
Q93YV9	Q93YV9	reviewed	SKIP8_ARATH	231
A4D1U4	A4D1U4	reviewed	DEN11_HUMAN	455
P89114	P89114	reviewed	SAE3_YEAST	91
Q05947	Q05947	reviewed	UCC1_YEAST	369
Q8BJK1	Q8BJK1	reviewed	KCTD7_MOUSE	289
Q9BU70	Q9BU70	reviewed	TRMO_HUMAN	441
Q4JL91	Q4JL91	reviewed	IPPK_DANRE	483
Q8N9V3	Q8N9V3	reviewed	WSDU1_HUMAN	476
Q9LEX8	Q9LEX8	reviewed	Y3093_ARATH	798
Q922M3	Q922M3	reviewed	BACD3_MOUSE	315
Q9LEM8	Q9LEM8	reviewed	NAC2_CHLRE	1385
Q8MR31	Q8MR31	reviewed	SLIP1_DROME	767
Q04773	Q04773	reviewed	YMW4_YEAST	145
P29509	P29509	reviewed	TRXB1_YEAST	319
Q7Z6I5	Q7Z6I5	reviewed	SPT12_HUMAN	190
P43079	P43079	reviewed	CPH1_CANAL	656
Q69ZT9	Q69ZT9	reviewed	TBC30_MOUSE	766
Q7K480	Q7K480	reviewed	MEPCE_DROME	1367
A8BQJ3	A8BQJ3	reviewed	DCL_GIAIC	754
Q8SRE0	Q8SRE0	reviewed	SYC_ENCCU	480
Q9XX11	Q9XX11	reviewed	ACKMT_CAEEL	190
A6H8Z2	A6H8Z2	reviewed	F221B_HUMAN	402
Q6P9F0	Q6P9F0	reviewed	CCD62_HUMAN	684
Q9FHE4	Q9FHE4	reviewed	BRG1_ARATH	294
B2GUB3	B2GUB3	reviewed	TTLL3_XENTR	830
P49916	P49916	reviewed	DNLI3_HUMAN	1009
P53886	P53886	reviewed	APC1_YEAST	1748
Q9Y5I7	Q9Y5I7	reviewed	CLD16_HUMAN	235
Q8T1C6	Q8T1C6	reviewed	GNT1_DICDI	423
Q80U22	Q80U22	reviewed	RUSC2_MOUSE	1514
Q21446	Q21446	reviewed	LIN14_CAEEL	539
P38270	P38270	reviewed	ATG14_YEAST	344
Q10951	Q10951	reviewed	BYR4_SCHPO	665
Q9BQ83	Q9BQ83	reviewed	SLX1_HUMAN	275
A0JPP8	A0JPP8	reviewed	CCD61_RAT	512
O74387	O74387	reviewed	RAV2_SCHPO	287
P32366	P32366	reviewed	VA0D_YEAST	345
Q8WZK0	Q8WZK0	reviewed	US107_SCHPO	695
Q9NQ31	Q9NQ31	reviewed	AKIP1_HUMAN	210
Q8NFQ8	Q8NFQ8	reviewed	TOIP2_HUMAN	470
P28587	P28587	reviewed	LEC2_AXIPO	49
Q9U226	Q9U226	reviewed	TAF12_CAEEL	342
Q9D8X1	Q9D8X1	reviewed	CUTC_MOUSE	272
P40893	P40893	reviewed	REE1_YEAST	198
Q9FIZ7	Q9FIZ7	reviewed	OPLA_ARATH	1266
P22058	P22058	reviewed	CPD1_DROME	355
Q8IV42	Q8IV42	reviewed	PSTK_HUMAN	348
Q07510	Q07510	reviewed	FABH_SPIOL	405
Q16655	Q16655	reviewed	MAR1_HUMAN	118
Q09373	Q09373	reviewed	FZY1_CAEEL	507
P02217	P02217	reviewed	GLB2_GLYDI	45
Q9BVV2	Q9BVV2	reviewed	FND11_HUMAN	318
Q8BZ09	Q8BZ09	reviewed	ODC_MOUSE	298
P19341	P19341	reviewed	B2MG_CANLF	42
Q9VSH0	Q9VSH0	reviewed	CGASL_DROME	346
Q8S8S2	Q8S8S2	reviewed	LPCT2_ARATH	539
Q9U320	Q9U320	reviewed	DAF38_CAEEL	415
Q21815	Q21815	reviewed	MIG23_CAEEL	552
O74197	O74197	reviewed	PUR6_CANGA	570
O14246	O14246	reviewed	TPZ1_SCHPO	508
A2WMG6	A2WMG6	reviewed	SRS1_ORYSI	204
P04572	P04572	reviewed	SCP_PERVT	174
Q9C099	Q9C099	reviewed	LRCC1_HUMAN	1032
Q9GSF8	Q9GSF8	reviewed	LARP7_EUPAE	437
Q8N7J2	Q8N7J2	reviewed	AMER2_HUMAN	671
Q6PGF2	Q6PGF2	reviewed	MORN4_MOUSE	146
Q96FQ6	Q96FQ6	reviewed	S10AG_HUMAN	103
Q9UHP7	Q9UHP7	reviewed	CLC2D_HUMAN	191
Q23023	Q23023	reviewed	UNC51_CAEEL	856
Q9PS05	Q9PS05	reviewed	SL9A_BOTJA	30
P54657	P54657	reviewed	CAD1_DICDI	213
P36029	P36029	reviewed	TPO5_YEAST	618
